,total_cases,weekly_hosp_admissions_per_million,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,BanOnAllEvents,BanOnAllEventsPartial,ClosDaycare,ClosDaycarePartial,ClosPrim,ClosPrimPartial,ClosPubAny,ClosPubAnyPartial,ClosSec,ClosSecPartial,EntertainmentVenues,EntertainmentVenuesPartial,GymsSportsCentres,GymsSportsCentresPartial,HotelsOtherAccommodationPartial,IndoorOver100,IndoorOver1000,IndoorOver50,MasksMandatoryAllSpacesPartial,MasksMandatoryClosedSpaces,MasksVoluntaryAllSpaces,MassGather50,MassGather50Partial,MassGatherAll,MassGatherAllPartial,NonEssentialShops,NonEssentialShopsPartial,OutdoorOver100,PlaceOfWorshipPartial,PrivateGatheringRestrictions,QuarantineForInternationalTravellers,QuarantineForInternationalTravellersPartial,RestaurantsCafes,RestaurantsCafesPartial,SocialCirclePartial,StayHomeGen,StayHomeGenPartial,StayHomeOrderPartial,Teleworking,TeleworkingPartial,tmin,tmax,prcp,wdir,wspd,wpgt,pres,R_kat,new_cases,new_cases_lead_1,new_cases_lead_2,new_cases_lead_3,new_cases_lead_4,new_cases_lead_5
20,16,0.313,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,7.2,1.4,203.1,10.7,38.9,1013.4,0,0.571,0.429,0.429,0.286,0.286,0.0
21,16,0.313,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,10.3,0.9,270.5,11.5,37.0,1016.0,0,0.429,0.429,0.286,0.286,0.0,0.0
22,16,0.445,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,9.5,0.0,228.6,6.7,16.7,1025.3,0,0.429,0.286,0.286,0.0,0.0,0.0
23,16,0.445,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,8.3,0.0,198.8,7.7,27.8,1017.3,0,0.286,0.286,0.0,0.0,0.0,0.0
24,16,0.445,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,12.8,0.0,264.4,14.5,35.2,1015.4,0,0.286,0.0,0.0,0.0,0.0,0.0
25,16,0.445,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,10.8,0.0,262.0,23.2,59.3,1021.4,0,0.0,0.0,0.0,0.0,0.0,0.0
26,16,0.445,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,7.9,1.5,257.9,17.6,44.5,1018.1,0,0.0,0.0,0.0,0.0,0.0,0.0
27,16,0.445,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,8.2,0.1,237.4,10.9,33.3,1020.6,0,0.0,0.0,0.0,0.0,0.0,0.143
28,16,0.445,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.9,2.1,270.3,20.5,53.7,1022.6,0,0.0,0.0,0.0,0.0,0.143,1.571
29,16,0.445,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,12.4,0.0,257.9,22.9,61.1,1022.5,0,0.0,0.0,0.0,0.143,1.571,4.286
30,16,0.721,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,13.8,12.6,270.3,34.0,88.9,1013.8,0,0.0,0.0,0.143,1.571,4.286,4.571
31,16,0.721,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,9.3,2.1,268.9,19.2,79.6,1017.7,0,0.0,0.143,1.571,4.286,4.571,9.0
32,17,0.721,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,11.7,2.9,257.5,18.5,46.3,1001.3,0,0.143,1.571,4.286,4.571,9.0,16.286
33,27,0.721,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,7.7,1.6,266.0,21.1,57.4,996.9,0,1.571,4.286,4.571,9.0,16.286,20.429
34,46,0.721,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,7.6,2.1,256.0,15.4,37.0,1002.7,0,4.286,4.571,9.0,16.286,20.429,25.571
35,48,0.721,0.0,0.0,0.0,0.0,0.0,19.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.4,4.5,292.8,16.5,46.3,1012.6,0,4.571,9.0,16.286,20.429,25.571,33.571
36,79,0.721,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,8.0,5.6,189.1,7.8,22.2,1004.8,0,9.0,16.286,20.429,25.571,33.571,62.286
37,130,2.2,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,11.9,1.0,244.9,12.5,38.9,1000.4,0,16.286,20.429,25.571,33.571,62.286,88.857
38,159,2.2,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,11.5,0.0,211.6,12.8,38.9,995.1,1,20.429,25.571,33.571,62.286,88.857,102.857
39,196,2.2,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,8.1,2.8,295.9,13.4,40.8,999.2,1,25.571,33.571,62.286,88.857,102.857,130.0
40,262,2.2,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,8.6,0.0,267.0,13.6,38.9,1011.9,1,33.571,62.286,88.857,102.857,130.0,145.286
41,482,2.2,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,0.8,124.6,9.5,27.8,1004.7,1,62.286,88.857,102.857,130.0,145.286,180.143
42,670,2.2,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,9.1,4.8,219.0,12.5,38.9,994.8,1,88.857,102.857,130.0,145.286,180.143,235.143
43,799,2.2,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,7.9,2.8,288.0,18.3,46.3,1012.7,1,102.857,130.0,145.286,180.143,235.143,228.0
44,1040,4.076,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,10.9,0.0,249.3,10.1,31.5,1019.2,1,130.0,145.286,180.143,235.143,228.0,429.286
45,1176,4.076,0.0,0.0,0.0,0.0,0.0,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,11.3,2.1,263.1,7.5,22.2,1013.7,1,145.286,180.143,235.143,228.0,429.286,540.857
46,1457,4.076,0.0,0.0,0.0,0.0,0.0,32.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,10.2,11.6,249.6,16.7,50.0,1011.9,1,180.143,235.143,228.0,429.286,540.857,679.286
47,1908,4.076,0.0,0.0,0.0,0.0,0.0,32.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,13.0,18.8,271.2,18.5,50.0,1010.7,1,235.143,228.0,429.286,540.857,679.286,870.857
48,2078,4.076,0.0,0.0,0.0,0.0,0.0,32.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,17.0,0.0,260.8,21.5,66.7,1010.6,1,228.0,429.286,540.857,679.286,870.857,1114.286
